AT,EV,AP,RH,PE
29.95,73.42,1011.44,66.32,432.81
5.76,40.07,1013.22,62.99,494.67
29.44,64.33,1011.4,61.78,442.32
32.83,74.33,1011.44,50.42,427.36
16.86,39.63,1004.47,83.5,466.68
25.6,66.48,1006.16,69.34,435.12
24.56,66.75,1018.5,77.47,435.03
18.83,47.83,1005.58,77.07,454.23
18.12,43.69,1016.91,52.95,464.68
22.09,65.59,1015.54,72.44,447.28
12.28,39.96,1011.76,77.07,468.0
5.98,41.31,1001.66,89.5,484.51
22.36,64.15,1021.05,68.43,453.94
22.05,63.31,1012.39,76.95,444.37
27.55,68.08,1011.42,60.71,432.59
8.23,43.79,1016.11,82.11,484.67
16.8,56.03,1020.65,85.26,461.96
5.35,35.57,1027.12,80.81,488.65
11.91,43.22,1008.75,76.57,472.88
24.73,70.72,1009.82,88.79,439.3
8.22,40.77,1009.11,95.61,480.38
25.24,57.17,1010.44,74.0,442.77
21.52,50.66,1013.56,74.33,455.71
26.45,64.27,1013.23,60.92,444.9
8.47,40.46,1019.87,78.19,475.06
30.39,71.8,1010.87,64.11,435.82
32.89,73.68,1014.45,52.34,426.46
14.55,42.74,1028.41,70.09,465.81
31.86,73.88,1005.6,57.68,435.91
18.03,58.86,1015.99,89.03,450.33
18.66,56.53,1020.13,80.04,459.45
16.39,58.59,1014.58,90.34,455.05
23.3,72.99,1008.54,92.11,437.62
22.49,61.27,1019.6,57.1,448.51
15.27,56.89,1013.28,86.92,456.72
18.36,53.16,1013.31,83.18,458.47
11.98,39.35,1014.97,98.05,472.43
20.6,45.38,1014.93,75.78,460.24
22.93,51.19,1009.3,82.8,443.57
15.06,41.85,1016.78,88.23,466.72
9.59,38.91,1011.87,81.3,479.96
26.3,61.41,1012.45,56.85,448.55
10.42,41.26,1008.48,96.76,472.54
11.77,41.06,1021.45,76.63,475.88
8.24,39.61,1017.99,78.42,477.9
23.19,42.67,1007.83,63.31,446.95
27.2,65.18,1011.47,47.14,436.99
26.99,68.12,1011.45,58.48,436.95
5.66,39.42,1024.7,78.52,482.11
14.81,39.58,1011.62,73.64,467.32
23.19,49.82,1014.59,70.52,451.08
30.82,76.2,1007.47,59.3,432.22
19.72,65.94,1010.53,82.12,446.84
23.93,64.05,1013.09,86.02,440.66
14.3,42.99,1007.32,73.72,467.9
19.16,63.09,1017.71,91.15,449.51
24.51,65.12,1016.18,62.39,447.46
13.97,52.05,1012.05,85.36,463.64
12.41,39.28,1017.08,87.02,473.86
25.07,56.85,1011.25,51.99,442.44
25.77,73.68,1014.18,87.53,429.84
14.95,42.99,1008.75,90.76,468.61
20.02,58.66,1011.5,76.74,454.21
12.36,52.75,1026.04,68.71,465.14
21.7,64.69,1007.93,78.37,448.76
16.95,40.12,1012.59,87.87,457.05
12.22,40.78,1024.02,85.46,464.12
23.21,58.66,1012.24,65.31,450.92
22.72,62.4,1010.28,80.79,445.22
13.54,40.69,1015.85,77.55,471.05
23.0,63.78,1015.85,70.46,444.62
23.56,73.67,1007.13,87.1,439.27
19.64,44.6,1015.88,47.56,467.53
21.98,58.79,1010.72,86.85,448.84
20.64,61.86,1012.81,99.97,447.14
13.72,49.83,1006.88,89.49,463.65
26.24,51.43,1011.32,59.52,447.91
6.97,41.26,1010.6,96.88,484.71
24.67,69.14,1006.25,88.51,440.03
23.6,48.98,1015.41,48.28,448.43
13.45,45.87,1008.42,87.74,464.59
24.84,71.73,1009.84,82.41,436.36
11.95,40.69,1015.62,85.34,475.4
17.13,42.86,1014.15,73.6,463.09
19.92,38.52,1018.15,60.68,451.16
30.1,67.45,1014.23,39.04,434.01
30.48,70.04,1010.73,53.7,429.85
13.07,38.47,1015.16,57.26,468.9
15.63,41.79,1006.7,78.28,455.24
21.83,57.85,1012.49,75.16,448.21
24.38,57.17,1009.85,74.46,444.59
33.82,73.03,1013.49,42.17,439.3
10.8,39.58,1011.99,87.54,478.24
9.86,41.01,1018.49,98.71,467.37
25.82,66.49,1013.2,60.32,434.35
10.06,34.69,1027.9,71.73,477.68
19.06,50.16,1011.36,99.64,449.74
22.53,60.95,1015.12,75.1,449.43
8.67,36.66,1026.8,84.36,480.38
22.03,64.79,1017.95,76.2,450.25
16.81,42.86,1013.83,77.11,464.36
26.0,69.88,1007.99,87.07,434.79
12.34,40.1,1015.77,92.26,470.92
17.49,40.55,1001.73,73.15,462.37
10.13,38.16,1013.57,79.04,474.92
18.32,47.83,1005.06,87.21,454.11
20.15,65.59,1014.62,79.39,449.84
14.65,41.92,1030.61,63.07,464.95
21.03,69.05,1002.17,75.35,444.35
17.45,42.28,1007.64,69.19,463.83
12.03,40.75,1015.93,85.07,474.97
24.2,50.78,1008.74,59.32,443.09
22.58,41.54,1013.21,71.33,460.95
11.81,40.75,1016.13,84.14,477.22
18.95,65.48,1018.17,71.85,452.85
24.33,46.93,1013.72,48.27,447.43
7.94,35.77,1017.04,63.22,480.38
16.07,44.58,1019.52,67.95,471.36
15.33,43.13,1015.41,53.17,466.86
