Timestamp,Age,Gender,City,Position,Years of experience,Your level,Current Salary,Salary one year ago,Salary two years ago,Are you getting any Stock Options?,Main language at work,Company size,Company type
14/12/2018 12:41:33,43,M,München,QA Ingenieur,11,Senior,77000,76200,68000,No,Deutsch,100-1000,Product
14/12/2018 12:42:09,33,F,München,Senior PHP Magento developer ,8,Senior,65000,55000,55000,No,Deutsch,50-100,Product
14/12/2018 12:47:36,32,M,München,Software Engineer,10,Senior,88000,73000,54000,No,Deutsch,1000+,Product
14/12/2018 12:50:15,25,M,München,Senior Frontend Developer,6,Senior,78000,55000,45000,Yes,English,1000+,Product
14/12/2018 12:50:31,39,M,München,UX Designer,10,Senior,69000,60000,52000,No,English,100-1000,Ecom retailer
14/12/2018 12:52:24,37,M,München,Project Manager,8,Senior,98000,96000,96000,Yes,Deutsch,1000+,Insurance
14/12/2018 12:53:47,,M,Berlin,Senior Android Developer,5,Senior,65000,50000,50000,Yes,English,1000+,Product
14/12/2018 12:53:47,36,F,München,Data science team lead,8,Senior,109000,105000,97000,Yes,English,1000+,
14/12/2018 12:54:20,32,M,Berlin,Test Automation Engineer,3,Senior,65000,58000,50000,Yes,English,100-1000,Startup
14/12/2018 12:55:44,30,M,München,Frontend Developer,8,Senior,60000,48000,42000,No,Deutsch,100-1000,Agency
14/12/2018 12:56:28,40,M,Berlin,Software Engineer,18,Senior,70000,57500,54000,No,English,100-1000,Product
14/12/2018 12:56:31,33,M,Karlsruhe,Senior Full-stack .Net Developer,8,Senior,70000,66000,48000,No,English,100-1000,Product
14/12/2018 12:59:58,31,F,Berlin,QA Lead,,Senior,55000,,,No,English,10-50,Startup
14/12/2018 13:00:13,29,M,Berlin,Front-end engineer,6,Middle,55000,55000,34000,No,English,100-1000,Product
14/12/2018 13:03:34,32,M,München,Software Developer,11,Middle,94500,91300,86300,No,Russian,1000+,Product
14/12/2018 13:06:18,25,F,München,QA Test Engineer,3,Junior,46000,44000,44000,No,English,100-1000,Startup
14/12/2018 13:07:09,33,M,München,QA Manager,11,Senior,68000,65000,63000,No,Deutsch,1000+,Product
14/12/2018 13:10:26,24,M,Hamburg,Software Engineer,4,Middle,60000,47000,,No,English,1000+,Product
14/12/2018 13:16:09,44,M,Berlin,Frontend Developer,17,Senior,62500,62500,54000,No,Deutsch,10-50,Agency
14/12/2018 13:20:36,37,M,Berlin,CTO,19,Senior,80000,70000,,Yes,English,50-100,Startup
14/12/2018 13:25:17,29,M,München,Cloud Consulting,10,Senior,132250,92600,92600,Yes,English,1000+,Big Tech
14/12/2018 13:25:49,34,F,Berlin,QA,10,Senior,53000,53000,48000,Yes,English,100-1000,Startup
14/12/2018 13:25:58,28,M,München,Frontend Engineer,5,Middle,52000,40000,40000,Yes,English,100-1000,Product
14/12/2018 13:28:36,35,M,Berlin,Head of IT,10,Senior,95000,95000,90000,No,English,10-50,Consultancy
14/12/2018 13:29:27,32,M,München,Senior Software Engineer,4,Senior,72000,60000,30000,No,English,1000+,Agency
14/12/2018 13:29:56,40,F,München,Operations manager,15,Middle,55000,55000,55000,No,English,100-1000,Product
14/12/2018 13:32:27,39,M,München,Frontend Developer,15,Senior,77000,74000,,No,English,100-1000,Product
14/12/2018 13:32:43,38,M,München,Product Manager,12,Senior,72000,72000,68000,No,English,100-1000,Product
14/12/2018 13:33:51,28,M,München,Software engineer ( React/React-native ),8,Senior,80000,,,No,English,50-100,Product
14/12/2018 13:33:54,31,M,Berlin,iOS Developer ,5,Middle,66000,,,No,English,1000+,Product
14/12/2018 13:39:08,39,M,Berlin,Senior DevOps,10,Middle,75800,66000,,No,Deutsch,1000+,Corporation
14/12/2018 13:40:40,35,F,München,Software Engineer,12,Senior,84000,84000,84000,No,English,100-1000,Startup
14/12/2018 13:43:36,32,M,München,C# Developer,10,Senior,60000,60000,60000,No,English,50-100,Product
14/12/2018 13:43:50,27,M,Augsburg ,ERP/BI Specialist,4,Middle,57000,52000,38000,No,Deutsch,100-1000,Product
14/12/2018 13:43:50,,M,München,Full stack developer,2,Junior,58000,50000,48000,Yes,English,100-1000,Product
14/12/2018 13:44:05,31,M,München,Systems Administrator,1,Junior,36000,,,No,English,50-100,Startup
14/12/2018 13:44:09,31,M,München,Senior Software Developer,10,Senior,70000,60000,,No,English,100-1000,Product
14/12/2018 13:44:09,32,M,München,C++ developer,10,Senior,72000,56000,55000,No,English,100-1000,Product
14/12/2018 13:44:38,35,M,München,Project Manager,5,Middle,75000,70000,,,English,100-1000,Product
14/12/2018 13:44:52,33,M,München,PM,9,Middle,90000,100000,85000,No,Deutsch,1000+,Product
14/12/2018 13:44:54,32,M,München,Android Developer,7,Senior,69000,,,No,English,100-1000,Product
14/12/2018 13:44:55,41,M,München,Software Architect,20,Senior,113000,80000,72000,No,Deutsch,100-1000,Startup
