Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
24/11/2020 11:14:15,26,Male,Munich,Software Engineer,5,3,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000,5000,75000,10000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 11:14:16,26,Male,Berlin,Backend Developer,7,4,Senior,Ruby,,80000,,82000,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:14:21,29,Male,Berlin,Software Engineer,12,6,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",120000,120000,100000,100000,30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,
24/11/2020 11:15:24,28,Male,Berlin,Frontend Developer,4,1,Junior,Javascript,,54000,,,,24,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 11:15:46,37,Male,Berlin,Backend Developer,17,6,Senior,C# .NET,".NET, SQL, AWS, Docker",62000,,62000,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:15:53,32,Male,Berlin,DevOps,5,1,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000,5000,76000,5000,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:16:35,37,Male,Berlin,Frontend Developer,6,0.4,Middle,Javascript,,57000,,,,24,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 11:16:44,24,Male,Berlin,Frontend Developer,5,1,Senior,Typescript,Javascript / Typescript,65000,,65000,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0,600
24/11/2020 11:17:24,29,Male,Berlin,Backend Developer,8,2,Senior,PHP,"SQL, AWS, Docker",56000,,55000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,30,
24/11/2020 11:17:50,35,Male,Berlin,Software Engineer,15,3,Lead,Java,,95000,,90000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,
24/11/2020 11:18:06,32,Female,Hamburg,Data Engineer,2,2,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500,,52500,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
24/11/2020 11:18:16,,Male,Berlin,Software Engineer,25,11,Senior,C++,"Python, C/C++, SQL",100000,101,80000,13000,24,Self-employed (freelancer),Temporary contract,English,11-50,Product,Yes,,
24/11/2020 11:18:22,,,Berlin,Software Engineer,,,Lead,PHP,,90000,40000,,,,Full-time employee,Unlimited contract,English,1000+,,No,,1000
24/11/2020 11:18:26,34,Male,Berlin,Software Engineer,14,5,Senior,Typescript,"PHP, Javascript / Typescript, AWS",70000,,,,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,0,
24/11/2020 11:18:40,28,Male,Berlin,Designer (UI/UX),11,2,Senior,,,75000,9400,66000,,30,Full-time employee,Unlimited contract,English,1000+,Product,Yes,,
24/11/2020 11:18:41,31,Male,Wolfsburg,Backend Developer,5,1,Senior,Kotlin,,75000,2000,75000,2000,25,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,
24/11/2020 11:18:52,29,Male,Hamburg,Backend Developer,7,3,Middle,Ruby,"Go, Kubernetes, Docker",60350,,58000,500,31,Full-time employee,Unlimited contract,English,1000+,Product,i didn't but will be looking for new one because of covid,0,
24/11/2020 11:19:10,41,Male,Berlin,Product Manager,18,2,Senior,,SQL,78000,,100000,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,
24/11/2020 11:20:03,27,Male,Berlin,Backend Developer,8,3,Senior,PHP,,60000,,55000,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:20:49,34,Male,Berlin,Mobile Developer,11,5,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000,80000,75000,75000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:21:10,34,Male,Berlin,DevOps,13,5,Senior,,,103000,,90000,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
24/11/2020 11:21:18,34,Male,Berlin,Software Architect,15,9,Lead,NodeJS,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000,,92000,7000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:22:57,25,Male,Berlin,Software Engineer,5,2,Senior,Javascript,"Javascript / Typescript, AWS, Docker",65000,,,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:23:11,59,Male,Berlin,Backend Developer,30,30,Senior,Java,"Kotlin, Java / Scala, SQL",69000,,69000,2000,28,Full-time employee,Unlimited contract,German,101-1000,Product,No,0,
24/11/2020 11:23:53,36,Male,Berlin,Software Engineer,17,2,Lead,PHP,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000,,65000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:25:03,38,Male,Berlin,Team Lead,18,4,Lead,iOS,"Swift, AWS",80000,4000,80000,2000,28,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,
24/11/2020 11:25:20,24,Male,Berlin,DevOps,6,3,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000,10000,63000,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:25:32,37,Male,Berlin,Test manager,6,6,Middle,Charles,,47400,1000,44000,1000,28,Full-time employee,Unlimited contract,German,1000+,Media,No,,
24/11/2020 11:25:35,,Male,Berlin,DevOps,14,5,Senior,,"Python, Go, AWS, Kubernetes, Docker",67000,7000,65000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
