"Country or Area","Year","Value"
"Australia","2017","554126.561371222"
"Australia","2016","546771.759766853"
"Australia","2015","535173.674335188"
"Australia","2014","524957.101166521"
"Australia","2013","530433.518838951"
"Australia","2012","540615.864771614"
"Australia","2011","538280.611348808"
"Australia","2010","537275.249361242"
"Australia","2009","540913.370343524"
"Australia","2008","537031.991694962"
"Australia","2007","533138.415296519"
"Australia","2006","526437.290027263"
"Australia","2005","521801.010173802"
"Australia","2004","515931.287064878"
"Australia","2003","498118.962011473"
"Australia","2002","496318.640680003"
"Australia","2001","492461.68129655"
"Australia","2000","485018.615860451"
"Australia","1999","474027.42803065"
"Australia","1998","468405.894183365"
"Australia","1997","454629.299253913"
"Australia","1996","442506.139039511"
"Australia","1995","434912.950844311"
"Australia","1994","426304.967545971"
"Australia","1993","426232.230118475"
"Australia","1992","425702.482908088"
"Australia","1991","421381.462949911"
"Australia","1990","420315.323177502"
"Austria","2017","82261.4680517736"
"Austria","2016","79596.1117706574"
"Austria","2015","78897.2528977136"
"Austria","2014","76679.7631564696"
"Austria","2013","80352.5317286566"
"Austria","2012","79811.3249244446"
"Austria","2011","82460.2996722024"
"Austria","2010","84753.2570429149"
"Austria","2009","80328.5022386276"
"Austria","2008","86816.1810374282"
"Austria","2007","87472.7353224966"
"Austria","2006","90117.3112066677"
"Austria","2005","92566.5564450761"
"Austria","2004","91382.8373368727"
"Austria","2003","91788.3931454629"
"Austria","2002","86110.7422988628"
"Austria","2001","84324.3408999896"
"Austria","2000","80414.9804413009"
"Austria","1999","80105.1788612909"
"Austria","1998","81702.1554499336"
"Austria","1997","82405.0797947174"
"Austria","1996","82874.6650928722"
"Austria","1995","79584.0344806711"
"Austria","1994","76206.7200449807"
"Austria","1993","75932.2967895208"
"Austria","1992","75750.4334282945"
"Austria","1991","82349.3135573646"
"Austria","1990","78670.3437208631"
"Belarus","2017","93959.644464384"
"Belarus","2016","91582.8849900479"
"Belarus","2015","89959.157151925"
"Belarus","2014","94587.90276246"
"Belarus","2013","95363.611064766"
"Belarus","2012","94271.1569658992"
"Belarus","2011","93378.2734940134"
"Belarus","2010","93765.870462257"
"Belarus","2009","91458.3776153961"
"Belarus","2008","95568.2530417122"
"Belarus","2007","91742.3716970525"
"Belarus","2006","92216.0671930361"
"Belarus","2005","88283.0107482926"
"Belarus","2004","86915.9318924485"
"Belarus","2003","82103.5613452338"
"Belarus","2002","79935.9594634186"
"Belarus","2001","81242.6622045175"
"Belarus","2000","81240.870432977"
"Belarus","1999","82810.959585839"
"Belarus","1998","86196.4448082329"
"Belarus","1997","89396.3705233553"
"Belarus","1996","85667.6886372585"
"Belarus","1995","83680.9970838297"
"Belarus","1994","91705.3271025991"
"Belarus","1993","107331.233943703"
"Belarus","1992","121000.130663808"
"Belarus","1991","130877.612137488"
"Belarus","1990","139274.286473905"
"Belgium","2017","114539.90168583"
"Belgium","2016","115783.1773351"
"Belgium","2015","117122.084794241"
"Belgium","2014","113505.967301877"
"Belgium","2013","119304.383964343"
"Belgium","2012","119372.664891585"
"Belgium","2011","122198.356262845"
"Belgium","2010","132921.986175957"
"Belgium","2009","126262.686687931"
"Belgium","2008","138827.782299725"
"Belgium","2007","138960.919682924"
"Belgium","2006","142660.424402023"
"Belgium","2005","145283.841581003"
"Belgium","2004","149230.634026981"
"Belgium","2003","147932.26938169"
"Belgium","2002","147567.284195723"
"Belgium","2001","148131.890220995"
"Belgium","2000","149729.921792081"
"Belgium","1999","148644.593813474"
"Belgium","1998","154956.897507329"
"Belgium","1997","149781.669174165"
"Belgium","1996","158303.404525728"
"Belgium","1995","154665.230708266"
"Belgium","1994","152522.824534153"
"Belgium","1993","147890.396896217"
"Belgium","1992","148920.397683824"
"Belgium","1991","149323.541677736"
"Belgium","1990","146586.606827842"
"Bulgaria","2017","61367.1644371524"
"Bulgaria","2016","59085.2184353746"
"Bulgaria","2015","61708.7020068857"
"Bulgaria","2014","58527.5928192881"
"Bulgaria","2013","55512.8318649802"
"Bulgaria","2012","60779.2288311277"
"Bulgaria","2011","65851.8979893724"
"Bulgaria","2010","60549.772395665"
"Bulgaria","2009","57970.0426023004"
"Bulgaria","2008","66953.7187656369"
"Bulgaria","2007","68359.1814823178"
"Bulgaria","2006","64485.1492892229"
"Bulgaria","2005","63906.7780678303"
"Bulgaria","2004","63341.6978133095"
"Bulgaria","2003","64192.909647484"
"Bulgaria","2002","59718.2828800053"
"Bulgaria","2001","62677.5690148353"
"Bulgaria","2000","59566.5631681521"
"Bulgaria","1999","60690.1518292955"
"Bulgaria","1998","67934.0073183429"
"Bulgaria","1997","71788.0591710084"
"Bulgaria","1996","74771.2578272011"
"Bulgaria","1995","74605.7722488051"
"Bulgaria","1994","73099.2454592463"
"Bulgaria","1993","76758.8583198222"
"Bulgaria","1992","77785.627156819"
"Bulgaria","1991","83417.0494165274"
"Bulgaria","1990","101849.107252419"
"Canada","2017","715749.23241154"
"Canada","2016","707727.165617479"
"Canada","2015","721992.083557336"
"Canada","2014","723090.986330032"
"Canada","2013","722062.808064815"
"Canada","2012","711023.233137937"
"Canada","2011","703378.94918725"
"Canada","2010","692618.853387883"
"Canada","2009","681699.295265029"
"Canada","2008","723225.103393441"
"Canada","2007","743766.909534822"
"Canada","2006","721444.528217199"
"Canada","2005","730349.475567518"
"Canada","2004","742971.644128776"
"Canada","2003","741002.787682284"
"Canada","2002","724348.553329597"
"Canada","2001","719733.428442391"
"Canada","2000","730587.601804916"
"Canada","1999","707376.01525363"
"Canada","1998","694531.39397746"
"Canada","1997","686988.022262297"
"Canada","1996","672053.099319326"
"Canada","1995","651011.018005915"
"Canada","1994","633675.451903352"
"Canada","1993","612264.415775658"
"Canada","1992","610440.864288721"
"Canada","1991","593402.355386533"
"Canada","1990","602184.441150153"
"Croatia","2017","25019.7493719701"
"Croatia","2016","24384.8341706792"
"Croatia","2015","24247.4164072443"
"Croatia","2014","23762.7250576896"
"Croatia","2013","24554.5423874369"
"Croatia","2012","25915.7422565134"
"Croatia","2011","27788.9347826209"
"Croatia","2010","28084.7223657128"
"Croatia","2009","28496.677686312"
"Croatia","2008","30849.3697364281"
"Croatia","2007","31793.5677503987"
"Croatia","2006","30394.1247229038"
"Croatia","2005","30012.3335685029"
"Croatia","2004","29626.8528714338"
"Croatia","2003","29515.1941878935"
"Croatia","2002","28095.3019827258"
"Croatia","2001","27056.2512357219"
"Croatia","2000","25860.8769182934"
"Croatia","1999","26212.6789309756"
"Croatia","1998","25110.1282350418"
"Croatia","1997","24765.023457709"
"Croatia","1996","23546.4234324996"
"Croatia","1995","22936.7510314243"
"Croatia","1994","22338.0225351348"
"Croatia","1993","23256.0694840878"
"Croatia","1992","23114.1484721451"
"Croatia","1991","25037.9971134042"
"Croatia","1990","31858.3616823847"
"Cyprus","2017","8945.26461162998"
"Cyprus","2016","8741.33325814945"
"Cyprus","2015","8303.20740523759"
"Cyprus","2014","8216.72983368521"
