Weight(Pounds),Height(Inches)
127.8296,67.63371
123.4114,65.95421
134.4043,66.14316
155.9981,73.45251
136.1354,69.30943
119.2647,65.10463
112.9622,67.25835
130.9521,69.56302
140.5955,70.46410999999999
114.521,66.73451
121.1912,65.70055
131.1613,68.37937
145.0568,69.90933000000001
122.0038,65.26199
123.2082,67.90434
132.9511,68.39529
159.4214,68.47646
126.9642,65.77453
133.89600000000002,68.13705
140.6199,71.13762
127.2639,69.5776
142.2736,69.17546999999999
127.4216,71.08973
140.6238,70.10094000000001
112.9531,67.9143
133.9494,68.36155
129.2477,66.92387
118.0115,65.7765
131.2489,66.39279
131.3802,64.88167
146.1936,70.96218
115.6669,62.99041999999999
121.5774,68.7831
142.8314,66.27411
122.375,68.06319
116.2171,68.79573
124.9442,64.65419
136.7116,71.81276
117.7597,66.49246
128.8387,66.24600000000001
126.8823,69.13237
127.5982,67.18215
113.8478,64.54504
102.2607,66.34719
125.96600000000001,70.74539
110.2593,62.409209999999995
115.0091,66.49663000000001
132.4786,66.94063
118.7218,68.37668000000001
116.7817,68.29789
130.9528,69.64403
115.3929,67.42189
128.8601,69.22762
144.9624,67.8101
115.6267,68.79172
113.9428,66.3778
126.7483,69.60885
114.3042,68.01762
133.7865,72.34676999999999
116.0406,67.39338000000001
135.5907,67.18316
151.5781,71.8127
144.9723,71.16317
123.9837,68.43265
121.2849,65.33549000000001
126.2582,69.96042
133.1992,69.50765
120.029,66.49201
115.5067,68.17075
126.4525,67.41405
120.0566,68.33879
132.9298,67.72532
142.2085,67.70525
133.0479,67.70153
127.348,64.26607
135.1397,70.09461
110.4565,65.82888
119.4855,67.02188000000001
129.5017,67.42044
122.0308,68.5454
88.04646,60.61265
126.8852,65.54597
143.1687,67.16575999999999
126.8469,67.24388
115.863,67.22402
122.0955,65.87678000000001
108.1062,67.94764
119.4764,66.45294
136.8066,67.19789
138.3614,66.72234
129.4379,67.94058000000001
121.7656,66.76895
136.1071,70.58610999999999
132.0323,67.85523
107.8183,65.96176
139.7691,65.48496999999999
130.5668,68.81871
125.9385,67.45148
139.8741,70.15337
112.8169,69.38429000000001
137.0147,65.19088
135.197,68.46056999999999
137.0353,68.72702
151.9118,68.5529
125.2331,69.02801
125.1627,68.01097
139.9603,68.52069
131.0879,66.0808
120.6675,66.62532
141.9567,69.02285
117.0906,64.62759
121.21700000000001,65.49834
131.9705,66.18249
143.30100000000002,67.97456
136.9649,69.30190999999999
122.0211,64.0927
120.4461,66.25327
132.2534,71.7491
115.5208,65.92318
105.214,67.32686
127.5459,67.50780999999999
115.8239,69.39218000000001
136.391,72.43693
121.8554,68.84406
144.6908,70.74812
116.3024,67.03686
144.6479,69.87984
127.7368,67.50705
129.6754,67.99061
109.8718,63.09629
125.5112,68.1677
129.9018,70.48939
135.924,69.91993000000001
116.4033,68.5127
111.5429,68.05308000000001
112.0903,68.01914000000001
138.6399,69.6161
126.2625,68.00358
104.8015,66.69679000000001
140.1015,71.80484
116.0243,65.4258
114.4221,64.69001999999999
117.2506,67.37510999999999
141.7658,69.44091999999999
127.8407,67.64085
138.2703,70.48329
119.0279,66.1292
119.4164,64.72033
147.3407,67.42102
131.1796,73.32066999999999
135.8658,69.28166999999999
124.8873,69.19398000000001
131.3343,73.6454
140.5596,68.66702
137.6336,69.22296
123.238,67.62461
119.185,64.79406
122.353,68.09234000000001
148.0819,70.97495
124.67299999999999,68.29032
144.3368,69.05895
126.4711,69.1082
106.4953,67.72585
123.9036,66.61174
116.2469,65.56851999999999
125.6535,67.21088
120.9881,71.27946999999999
135.062,67.30874
134.9774,70.02152
126.9731,68.24515
111.8224,64.24878000000001
116.9901,68.374
131.4137,65.48562
123.5493,66.24776999999999
133.0682,67.43271999999999
134.0208,68.42978000000001
120.3047,68.8071
136.8641,66.4883
116.2255,69.42300999999999
128.3993,70.20798
121.7723,66.66707
119.04,64.40454
127.9486,67.94309
116.4848,68.3902
141.5054,73.06241
111.02,68.05693000000001
115.6393,65.67652
117.2748,66.47578
110.6833,68.77967
119.7698,68.33747
136.24,68.28090999999999
142.7847,70.88927
133.1697,67.37218
107.1578,66.44097
135.25,68.41221999999999
109.5143,66.49606999999999
139.6043,67.84894
134.3672,67.27839
130.3869,68.48742
139.7222,68.26234000000001
118.2317,67.09047
137.7593,69.42645999999999
127.6466,66.96574
110.7792,67.35105
109.666,66.39305
106.1247,67.38237
136.9164,68.74304000000001
133.1982,70.21958000000001
143.4456,70.3089
112.4388,67.96446
127.2149,70.74503
125.4368,69.70668
117.0282,65.35631
112.1695,64.82273
150.6201,70.76347
147.8093,69.52365
109.7773,67.37012
135.1886,70.99416
116.4237,68.42171
118.2219,65.57065
128.3355,70.74635
122.1613,70.21379
132.424,65.29685
126.6496,67.54026999999999
133.7343,67.20076
139.9917,70.04973000000001
136.5241,65.48455
131.643,66.77655
101.8559,67.86452
115.8201,67.07369
127.1804,70.47683
124.6416,68.64716999999999
132.5216,69.26205
123.8393,66.6547
130.6669,67.10991
126.2731,67.53883
142.8685,69.06831
124.0545,67.24122
129.8379,68.52941
124.1218,66.13369
121.6074,67.44444
119.9647,66.89966
126.4091,66.47936999999999
146.899,68.70418000000001
122.8529,68.90441
114.9568,67.34384
115.5379,66.91716
132.153,67.57977
147.7944,69.89009
131.5629,70.60624
115.8608,67.49556
127.1378,68.38126
125.3875,67.75898000000001
125.1865,66.55633
118.0629,68.70195
125.2121,68.17806999999999
149.7548,70.94818000000001
129.5163,70.83582
125.4858,68.56738
143.6734,70.63179000000001
130.1937,68.74512
124.811,67.06985
130.411,70.69665
124.8416,66.54816
111.5242,67.48875
142.5478,68.42039
132.1244,67.73454
120.0463,66.6031
127.5491,65.8678
106.5867,69.37409
132.8954,69.27402
119.5574,68.21611999999999
123.3998,65.48748
127.541,66.23781
122.9495,69.26578
119.9807,66.20656
121.4366,67.04966999999999
126.3585,64.16346
123.4858,68.04018
129.8693,67.90904
115.3108,68.21327
139.379,71.75046999999999
129.0836,67.80333
135.0619,65.33383
126.662,68.6367
120.9892,67.47425
121.7877,67.33538
132.2918,65.86804000000001
118.5255,67.2019
116.9965,65.66194
119.2209,67.44715
121.9766,70.56466999999999
148.2412,67.75328
140.3997,69.08936
134.5066,67.55757
134.3778,69.46406
120.4977,65.07625
127.4447,69.17135999999999
124.7855,68.00188
131.7526,68.56821
125.6399,67.75061
143.1486,72.56430999999999
135.9715,68.70108
120.8482,66.58706
124.6131,71.3131
127.0141,68.04661999999999
127.8097,66.66155
119.4935,68.03769
113.4953,68.96595
116.4113,71.04224
123.8986,69.58655999999999
124.5403,68.79655
101.3054,63.6611
118.9804,66.53479
128.1364,70.97413
118.2405,69.66303
152.026,67.02704
137.1694,67.20823
144.701,67.57706
116.0402,71.48421
128.1767,66.85157
118.5364,66.37528
119.6591,70.2161
141.058,67.76397
131.1969,66.80329
127.3629,69.76603
142.8177,69.09461999999999
120.9811,63.82304
138.9753,67.88823000000001
101.615,66.75484
132.1645,68.82706999999999
134.8282,70.33681
135.9652,65.85663000000001
143.1277,70.21315
129.4851,69.11256999999999
130.0106,68.29276
108.9945,66.64859
112.3178,65.88747
134.1362,67.07497
127.6471,70.11615
125.1617,65.15613
129.6506,68.35981
121.8782,67.45521
118.4916,66.56482
141.3197,66.83412
140.3787,67.10415
121.5633,68.18635
140.5532,69.77291
140.5505,70.2878
143.1515,68.54096
124.9418,67.92593000000001
140.665,69.29496999999999
125.3466,68.28699
127.1033,67.23393
116.2886,69.70421999999999
128.8735,69.46661
126.21,69.39616
108.7164,68.31
148.5226,68.39086
126.1211,66.13913000000001
107.7614,68.65969
130.22,69.85951999999999
138.9453,72.29547
113.6199,65.63433
127.9334,67.37231
136.2666,69.36134
136.3496,67.30654
137.3238,65.23885
138.149,68.38632
118.1762,68.32296
107.7373,65.70656
127.0436,65.25058
149.0714,68.96672
156.1069,68.27584
119.1817,67.57329
128.0158,68.48425
131.9541,71.05779
124.7923,67.98141
132.718,67.43806
146.3363,67.02356999999999
123.4565,66.74043
134.08,69.04342
97.06459,65.36984
103.6491,65.05275999999999
128.1226,68.86359
114.1668,66.96471
126.2921,66.42899
114.0659,66.64471
116.9318,66.61423
118.3686,68.18722
122.7911,66.57693
122.4746,69.03615
130.6387,68.85235
125.5308,64.88316
138.3937,69.39355
135.0784,67.7322
118.7804,65.65796
131.4764,68.02611999999999
125.1624,69.21836
143.9272,71.82677
140.1474,67.68099000000001
143.0166,69.62921999999999
140.8299,70.76924
127.81,67.26378000000001
137.2681,67.23624000000001
92.20107,64.7652
126.5518,68.71036
147.1926,69.09421999999999
112.3071,68.06381999999999
128.4398,68.39773000000001
114.1209,67.25626
111.3345,66.3396
122.6454,69.81405
136.7567,68.52627
126.5701,67.96195999999999
130.2877,65.2832
129.2673,68.63648
131.1206,68.77237
125.7601,65.37071999999999
135.4122,66.58675
125.6505,67.68893
115.6044,65.19143000000001
115.666,68.43843000000001
115.2544,68.56161
135.8133,66.68536
135.5799,68.43567
131.6375,69.48855999999999
135.2368,69.59836999999999
126.8135,62.746959999999994
137.5004,70.48483
154.2642,72.205
115.4675,68.25133000000001
133.0366,67.39433000000001
140.7693,65.69337
122.6496,65.7493
166.3016,71.78019
127.1064,67.38543
132.9339,71.35418
143.4204,64.82819
136.0545,68.50404
124.3501,67.93785
124.9625,67.48779
132.9983,68.4489
129.7161,68.03694
109.4352,64.0908
123.7257,72.22081
127.7406,66.22321
122.8827,66.31913
115.2754,63.8229
136.2859,69.63011
115.0583,67.05884
135.5258,70.52360999999999
145.2255,69.88488000000001
134.8146,70.2348
127.1567,70.62668000000001
118.2649,66.60061
135.2724,70.66530999999999
128.6441,64.15535
128.7979,68.76325
130.4869,66.42833
153.2208,70.53877
148.5183,67.12456999999999
109.6276,66.34019
110.5079,66.06130999999999
127.4783,67.75657
122.5428,68.85095
116.0189,67.04267
125.7112,68.02516
136.2498,69.35396
144.9609,71.14569
99.51504,65.80355
136.0319,69.76432
110.8142,66.96253
115.8846,66.30496
119.7939,66.60797
127.6565,68.1288
123.1712,69.01529000000001
106.6298,65.34666999999999
112.5824,68.63068
133.799,71.2729
137.4056,72.43607
130.8209,67.74345
117.6573,69.11893
133.4005,68.34615
124.5333,67.96066
126.7682,66.29951
111.6101,64.35037
141.775,71.36658
158.7833,69.25316
125.715,66.53111
116.7243,67.47736
131.3282,69.08362
109.3581,67.40661
136.8498,71.45237
137.3696,67.96731
127.9674,68.15474
133.7479,68.12418000000001
140.2481,68.65431
134.7724,69.36484
156.5212,68.64546
118.8078,68.81107
133.9323,66.54171
137.1362,68.39572
121.0995,65.60325999999999
116.8814,66.35068000000001
112.0469,66.84969
137.7229,67.65171
113.6473,65.24025999999999
126.7595,65.76876
128.9863,69.42007
121.7585,69.09536
129.2684,68.2366
124.495,68.99646
133.3264,70.41469000000001
122.58200000000001,66.93601
139.7362,69.9312
137.0794,67.27675
137.876,70.98644
109.6336,64.19131999999999
126.3652,70.31071999999999
130.6583,67.32014000000001
110.7445,66.72479
126.6764,65.94202
136.0664,68.97216
124.5456,69.4062
117.2508,67.92791
120.7194,67.99457
131.6298,68.72349
144.3998,69.04428
130.6338,68.37273
124.07600000000001,65.10633
115.3758,67.19227
139.0637,66.76286
133.0796,67.67419
123.1309,66.49335
131.1289,68.93723
126.795,69.51862
109.5517,65.93191
142.8679,67.88689000000001
116.1557,66.4562
90.53995,68.48521
124.8785,67.14848
125.4036,69.54011
120.0385,70.18009
130.2469,65.79883000000001
134.1788,68.78438
142.5486,65.97989
125.5644,68.79234
128.0532,67.11381999999999
119.7595,68.16866
109.4724,66.53067
114.2171,63.67519
135.9047,69.32562
130.5531,70.30558
119.8123,68.58476999999999
136.6572,71.68575
135.2309,69.54205
122.0912,67.65562
120.8563,66.50525
134.8652,71.5466
115.0598,66.04605
140.8319,68.29647
120.5965,70.33914
100.095,65.38356999999999
116.15299999999999,66.88354
116.3007,65.2308
139.2419,70.30911
109.2026,65.31335
119.5436,66.97366
128.9941,67.24661
129.3543,67.87445
119.5881,64.62708
117.4347,66.74216
122.1496,67.89065
129.4726,68.75452
121.2109,68.30939000000001
128.0636,67.79292
114.23700000000001,66.60677
143.0605,70.97724000000001
130.8526,71.97374
123.7498,67.6326
135.6857,67.29290999999999
122.1385,66.26916
136.6555,66.81484
150.5815,67.59295
111.6216,67.93284
138.7471,68.12082
138.466,68.20281
130.2737,66.1988
124.1445,67.61734
136.737,68.47617
126.8375,66.5913
118.7207,68.36249000000001
142.3012,71.80443000000001
120.3352,66.81603
126.1359,67.81994
118.4966,67.61646999999999
127.5867,68.1636
121.7387,65.43111
133.4373,69.57104
140.8013,69.26616
118.1644,67.2104
112.2048,64.10125
113.0753,66.61783
129.7849,64.42384
129.1013,69.20198
113.8089,67.217
124.7472,69.34209
120.8841,67.8546
136.7717,64.99608
130.1248,67.80211
160.0595,69.36979000000001
117.0056,66.84285
112.9701,66.53415
145.1667,69.43162
138.0429,69.92365
130.5926,67.6661
131.2085,65.41208
128.8615,68.64995
123.0112,65.30234
129.5914,71.17728000000001
140.1673,67.40581
116.0712,67.11910999999999
118.7423,67.44148
131.4942,68.33125
152.8868,71.4743
141.3338,69.24476999999999
134.5409,66.04091
112.5397,67.72313
96.68665,64.5222
114.0189,65.52005
107.368,67.58275
113.1057,67.49847
113.3989,65.18437
109.572,65.60339
117.5245,69.71436
139.1888,70.56427
129.6396,70.69799
137.7115,69.34919000000001
113.3199,66.49436
117.1901,67.91306999999999
109.9605,66.5432
108.979,66.76364000000001
135.7816,65.38226
149.3078,70.31743
119.3743,66.64913
118.4883,68.57754
121.7475,68.19334
127.8689,66.10884
121.3151,67.22785999999999
134.0619,71.56000999999999
116.6186,65.75904
125.7048,68.87021999999999
149.6391,70.07489
111.9882,65.17021
141.6987,69.04936
127.6291,68.64435
109.0055,67.21474
127.3197,68.17463000000001
134.2673,68.96821
122.3172,64.70474
116.5409,68.11324
124.4514,64.29055
124.5909,67.42645999999999
113.7784,68.79217
139.7301,70.45714
137.2361,68.80485999999999
133.1919,67.33471
144.42600000000002,70.02343
144.8827,68.4131
127.4329,65.75023
130.3208,62.64956
129.9896,67.61616
120.1962,69.61369
128.6212,68.45538
136.6994,70.42506
126.0558,69.25117
135.8907,71.29633000000001
132.4746,67.86793
158.2521,70.02842
124.5106,63.7019
125.5772,66.81613
95.53404,64.99349000000001
145.5139,69.83211999999999
138.2626,70.37038000000001
117.3092,66.01267
129.5371,69.32344
144.1876,67.14863000000001
145.1448,68.7451
112.35,63.91125
148.9722,72.0594
148.2023,68.77865
128.4577,67.68633
131.2762,66.84021
115.3394,68.62581999999999
109.4734,68.81199000000001
153.9562,75.11519
116.3407,65.9935
136.3986,69.6285
127.1976,67.92721
145.5672,70.96885999999999
125.5647,67.7792
132.4605,67.11634000000001
122.5181,68.20687
144.8232,68.14281
133.5727,70.39659
121.6671,66.53189
122.2368,65.67069000000001
105.2355,62.38539
133.8041,69.07669
149.5342,71.01041
139.162,67.93228
121.8744,67.93426
127.3106,65.58521999999999
103.6524,66.28759000000001
108.0979,63.727959999999996
124.0105,67.3639
123.8108,66.86315
125.9471,67.59976999999999
113.9381,64.92276
130.4401,68.62495
123.0554,64.41354
108.6551,67.45676
141.7393,68.80671
130.292,67.68945
132.7199,70.6871
104.1348,62.26498
130.8975,69.27991
155.8226,71.58625
125.3568,69.1269
129.3592,66.9622
133.4505,65.98501999999999
115.9419,66.07377
120.2593,67.94924
129.7352,69.32421
128.5349,66.39806999999999
141.0356,72.96003
119.6392,68.70917
130.6901,68.31497
123.9916,67.87392
