Height(Inches),Weight(Pounds)
67.63371,127.8296
65.95421,123.4114
66.14316,134.4043
73.45251,155.9981
69.30943,136.1354
65.10463,119.2647
67.25835,112.9622
69.56302,130.9521
70.46410999999999,140.5955
66.73451,114.521
65.70055,121.1912
68.37937,131.1613
69.90933000000001,145.0568
65.26199,122.0038
67.90434,123.2082
68.39529,132.9511
68.47646,159.4214
65.77453,126.9642
68.13705,133.89600000000002
71.13762,140.6199
69.5776,127.2639
69.17546999999999,142.2736
71.08973,127.4216
70.10094000000001,140.6238
67.9143,112.9531
68.36155,133.9494
66.92387,129.2477
65.7765,118.0115
66.39279,131.2489
64.88167,131.3802
70.96218,146.1936
62.99041999999999,115.6669
68.7831,121.5774
66.27411,142.8314
68.06319,122.375
68.79573,116.2171
64.65419,124.9442
71.81276,136.7116
66.49246,117.7597
66.24600000000001,128.8387
69.13237,126.8823
67.18215,127.5982
64.54504,113.8478
66.34719,102.2607
70.74539,125.96600000000001
62.409209999999995,110.2593
66.49663000000001,115.0091
66.94063,132.4786
68.37668000000001,118.7218
68.29789,116.7817
69.64403,130.9528
67.42189,115.3929
69.22762,128.8601
67.8101,144.9624
68.79172,115.6267
66.3778,113.9428
69.60885,126.7483
68.01762,114.3042
72.34676999999999,133.7865
67.39338000000001,116.0406
67.18316,135.5907
71.8127,151.5781
71.16317,144.9723
68.43265,123.9837
65.33549000000001,121.2849
69.96042,126.2582
69.50765,133.1992
66.49201,120.029
68.17075,115.5067
67.41405,126.4525
68.33879,120.0566
67.72532,132.9298
67.70525,142.2085
67.70153,133.0479
64.26607,127.348
70.09461,135.1397
65.82888,110.4565
67.02188000000001,119.4855
67.42044,129.5017
68.5454,122.0308
60.61265,88.04646
65.54597,126.8852
67.16575999999999,143.1687
67.24388,126.8469
67.22402,115.863
65.87678000000001,122.0955
67.94764,108.1062
66.45294,119.4764
67.19789,136.8066
66.72234,138.3614
67.94058000000001,129.4379
66.76895,121.7656
70.58610999999999,136.1071
67.85523,132.0323
65.96176,107.8183
65.48496999999999,139.7691
68.81871,130.5668
67.45148,125.9385
70.15337,139.8741
69.38429000000001,112.8169
65.19088,137.0147
68.46056999999999,135.197
68.72702,137.0353
68.5529,151.9118
69.02801,125.2331
68.01097,125.1627
68.52069,139.9603
66.0808,131.0879
66.62532,120.6675
69.02285,141.9567
64.62759,117.0906
65.49834,121.21700000000001
66.18249,131.9705
67.97456,143.30100000000002
69.30190999999999,136.9649
64.0927,122.0211
66.25327,120.4461
71.7491,132.2534
65.92318,115.5208
67.32686,105.214
67.50780999999999,127.5459
69.39218000000001,115.8239
72.43693,136.391
68.84406,121.8554
70.74812,144.6908
67.03686,116.3024
69.87984,144.6479
67.50705,127.7368
67.99061,129.6754
63.09629,109.8718
68.1677,125.5112
70.48939,129.9018
69.91993000000001,135.924
68.5127,116.4033
68.05308000000001,111.5429
68.01914000000001,112.0903
69.6161,138.6399
68.00358,126.2625
66.69679000000001,104.8015
71.80484,140.1015
65.4258,116.0243
64.69001999999999,114.4221
67.37510999999999,117.2506
69.44091999999999,141.7658
67.64085,127.8407
70.48329,138.2703
66.1292,119.0279
64.72033,119.4164
67.42102,147.3407
73.32066999999999,131.1796
69.28166999999999,135.8658
69.19398000000001,124.8873
73.6454,131.3343
68.66702,140.5596
69.22296,137.6336
67.62461,123.238
64.79406,119.185
68.09234000000001,122.353
70.97495,148.0819
68.29032,124.67299999999999
69.05895,144.3368
69.1082,126.4711
67.72585,106.4953
66.61174,123.9036
65.56851999999999,116.2469
67.21088,125.6535
71.27946999999999,120.9881
67.30874,135.062
70.02152,134.9774
68.24515,126.9731
64.24878000000001,111.8224
68.374,116.9901
65.48562,131.4137
66.24776999999999,123.5493
67.43271999999999,133.0682
68.42978000000001,134.0208
68.8071,120.3047
66.4883,136.8641
69.42300999999999,116.2255
70.20798,128.3993
66.66707,121.7723
64.40454,119.04
67.94309,127.9486
68.3902,116.4848
73.06241,141.5054
68.05693000000001,111.02
65.67652,115.6393
66.47578,117.2748
68.77967,110.6833
68.33747,119.7698
68.28090999999999,136.24
70.88927,142.7847
67.37218,133.1697
66.44097,107.1578
68.41221999999999,135.25
66.49606999999999,109.5143
67.84894,139.6043
67.27839,134.3672
68.48742,130.3869
68.26234000000001,139.7222
67.09047,118.2317
69.42645999999999,137.7593
66.96574,127.6466
67.35105,110.7792
66.39305,109.666
67.38237,106.1247
68.74304000000001,136.9164
70.21958000000001,133.1982
70.3089,143.4456
67.96446,112.4388
70.74503,127.2149
69.70668,125.4368
65.35631,117.0282
64.82273,112.1695
70.76347,150.6201
69.52365,147.8093
67.37012,109.7773
70.99416,135.1886
68.42171,116.4237
65.57065,118.2219
70.74635,128.3355
70.21379,122.1613
65.29685,132.424
67.54026999999999,126.6496
67.20076,133.7343
70.04973000000001,139.9917
65.48455,136.5241
66.77655,131.643
67.86452,101.8559
67.07369,115.8201
70.47683,127.1804
68.64716999999999,124.6416
69.26205,132.5216
66.6547,123.8393
67.10991,130.6669
67.53883,126.2731
69.06831,142.8685
67.24122,124.0545
68.52941,129.8379
66.13369,124.1218
67.44444,121.6074
66.89966,119.9647
66.47936999999999,126.4091
68.70418000000001,146.899
68.90441,122.8529
67.34384,114.9568
66.91716,115.5379
67.57977,132.153
69.89009,147.7944
70.60624,131.5629
67.49556,115.8608
68.38126,127.1378
67.75898000000001,125.3875
66.55633,125.1865
68.70195,118.0629
68.17806999999999,125.2121
70.94818000000001,149.7548
70.83582,129.5163
68.56738,125.4858
70.63179000000001,143.6734
68.74512,130.1937
67.06985,124.811
70.69665,130.411
66.54816,124.8416
67.48875,111.5242
68.42039,142.5478
67.73454,132.1244
66.6031,120.0463
65.8678,127.5491
69.37409,106.5867
69.27402,132.8954
68.21611999999999,119.5574
65.48748,123.3998
66.23781,127.541
69.26578,122.9495
66.20656,119.9807
67.04966999999999,121.4366
64.16346,126.3585
68.04018,123.4858
67.90904,129.8693
68.21327,115.3108
71.75046999999999,139.379
67.80333,129.0836
65.33383,135.0619
68.6367,126.662
67.47425,120.9892
67.33538,121.7877
65.86804000000001,132.2918
67.2019,118.5255
65.66194,116.9965
67.44715,119.2209
70.56466999999999,121.9766
67.75328,148.2412
69.08936,140.3997
67.55757,134.5066
69.46406,134.3778
65.07625,120.4977
69.17135999999999,127.4447
68.00188,124.7855
68.56821,131.7526
67.75061,125.6399
72.56430999999999,143.1486
68.70108,135.9715
66.58706,120.8482
71.3131,124.6131
68.04661999999999,127.0141
66.66155,127.8097
68.03769,119.4935
68.96595,113.4953
71.04224,116.4113
69.58655999999999,123.8986
68.79655,124.5403
63.6611,101.3054
66.53479,118.9804
70.97413,128.1364
69.66303,118.2405
67.02704,152.026
67.20823,137.1694
67.57706,144.701
71.48421,116.0402
66.85157,128.1767
66.37528,118.5364
70.2161,119.6591
67.76397,141.058
66.80329,131.1969
69.76603,127.3629
69.09461999999999,142.8177
63.82304,120.9811
67.88823000000001,138.9753
66.75484,101.615
68.82706999999999,132.1645
70.33681,134.8282
65.85663000000001,135.9652
70.21315,143.1277
69.11256999999999,129.4851
68.29276,130.0106
66.64859,108.9945
65.88747,112.3178
67.07497,134.1362
70.11615,127.6471
65.15613,125.1617
68.35981,129.6506
67.45521,121.8782
66.56482,118.4916
66.83412,141.3197
67.10415,140.3787
68.18635,121.5633
69.77291,140.5532
70.2878,140.5505
68.54096,143.1515
67.92593000000001,124.9418
69.29496999999999,140.665
68.28699,125.3466
67.23393,127.1033
69.70421999999999,116.2886
69.46661,128.8735
69.39616,126.21
68.31,108.7164
68.39086,148.5226
66.13913000000001,126.1211
68.65969,107.7614
69.85951999999999,130.22
72.29547,138.9453
65.63433,113.6199
67.37231,127.9334
69.36134,136.2666
67.30654,136.3496
65.23885,137.3238
68.38632,138.149
68.32296,118.1762
65.70656,107.7373
65.25058,127.0436
68.96672,149.0714
68.27584,156.1069
67.57329,119.1817
68.48425,128.0158
71.05779,131.9541
67.98141,124.7923
67.43806,132.718
67.02356999999999,146.3363
66.74043,123.4565
69.04342,134.08
65.36984,97.06459
65.05275999999999,103.6491
68.86359,128.1226
66.96471,114.1668
66.42899,126.2921
66.64471,114.0659
66.61423,116.9318
68.18722,118.3686
66.57693,122.7911
69.03615,122.4746
68.85235,130.6387
64.88316,125.5308
69.39355,138.3937
67.7322,135.0784
65.65796,118.7804
68.02611999999999,131.4764
69.21836,125.1624
71.82677,143.9272
67.68099000000001,140.1474
69.62921999999999,143.0166
70.76924,140.8299
67.26378000000001,127.81
67.23624000000001,137.2681
64.7652,92.20107
