id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
11602914,Luxury home 100m2+garden in center!,3123809,Marjolein,,De Pijp - Rivierenbuurt,52.35368,4.90177,Entire home/apt,3,13,15-02-2020,0.27,1,0,220
13289321,East is where your home is!,10259430,Ana,,Oud-Oost,52.357279999999996,4.92052,Entire home/apt,4,14,19-06-2019,0.29,1,0,110
40779315,Amsterdam Central - LUXURY house in BUSY STREET,224969266,Mark,,Centrum-West,52.375820000000004,4.8985,Entire home/apt,2,9,16-03-2020,1.65,1,7,100
7820311,great appartment down town,693472,Ayden,,Westerpark,52.37792,4.873,Entire home/apt,3,42,17-02-2020,0.72,1,0,130
27346603,Private room with canal view in peaceful area,41888346,Alissa,,Westerpark,52.38051,4.87493,Private room,2,89,26-02-2020,4.02,1,24,90
6119654,Central&Cosy place @ Rijksmuseum!,4056223,Sophie,,Centrum-Oost,52.3619,4.88589,Entire home/apt,2,53,30-03-2018,0.85,1,0,119
1955400,Gorgeous family home near Museum Sq,1326792,Edward,,Centrum-Oost,52.35925,4.89628,Entire home/apt,2,0,,,1,0,225
14667779,Spacious and stylish apartment in buzzing East,30268954,Max,,Oud-Oost,52.35711,4.92543,Entire home/apt,2,4,12-03-2017,0.09,1,0,150
11204463,Room in light & stylish apartment,8795077,Jan,,De Baarsjes - Oud-West,52.367340000000006,4.85206,Private room,3,115,03-02-2020,2.25,3,89,69
13600782,Spacious apartment with garden and awesome kitchen,15331870,Abe & Jessie,,De Baarsjes - Oud-West,52.36351,4.855659999999999,Entire home/apt,3,12,02-09-2018,0.25,1,0,109
18225467,"Comfortable bright family house, close to ferry",1283205,Marieke,,Noord-West,52.4101,4.9015,Entire home/apt,7,12,03-01-2020,0.34,1,0,120
22916028,Cosy 1st floor apartment in the historic Jordaan,20487522,Agnieta,,Centrum-West,52.377759999999995,4.881390000000001,Entire home/apt,4,4,20-08-2018,0.15,1,0,100
21791160,Great stylish apartment in Jordaan!,8749344,Mees,,Westerpark,52.38016,4.86921,Entire home/apt,4,5,23-09-2018,0.23,1,0,139
16565978,Historic Dutch Barge - 1870s Built - Sleeps 4,1446243,Alasdair,,Centrum-Oost,52.36913,4.91695,Entire home/apt,21,0,,,1,0,20
5899241,"Feel@home, 3 bdr and sunny garden",19732607,Nienke & Jacco,,Oud-Oost,52.35711,4.91942,Entire home/apt,2,31,20-10-2019,0.5,1,171,220
7945458,"Luxurious, 135m2 & rooftop terrace",39816184,Hans,,De Pijp - Rivierenbuurt,52.35711,4.89559,Entire home/apt,3,25,22-10-2019,0.43,1,0,280
43419962,"Amsterdam city center studio, with the best view!",335573197,Rita,,Bos en Lommer,52.3754,4.84669,Entire home/apt,1,2,31-05-2020,2.0,1,63,93
13545194,Room in the city centre,32751907,Bar,,Westerpark,52.37604,4.87425,Private room,1,1,02-08-2016,0.02,1,0,60
