id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12297872,"Great apartment, super location",44144487,Azarakhsh,,De Baarsjes - Oud-West,52.373259999999995,4.8621300000000005,Entire home/apt,2,49,15-09-2019,0.99,1,267
3920205,Lovely apartment in Center south!,7594884,"Ruben, Sarah & Lindy",,De Pijp - Rivierenbuurt,52.35076,4.88866,Entire home/apt,3,34,19-09-2019,0.49,38,0
26614345,"Sunny family friendly house, centrally located",3903937,Maaike,,Oud-Noord,52.3898,4.90881,Entire home/apt,4,3,21-04-2019,0.13,1,0
7433172,1 Br Apartment in Old South A'dam,24969223,Quirien,,Zuid,52.34292,4.85962,Entire home/apt,4,0,,,1,0
17019744,Luxurious house with garden - central location,114138837,Sietse,,Westerpark,52.37321,4.872380000000001,Entire home/apt,2,9,24-09-2017,0.23,1,0
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,3,367,10-03-2020,3.13,1,271
20211135,"Modern styled apartment in the City-Centre,",121494034,Sebastiaan,,Oud-Oost,52.359629999999996,4.91324,Entire home/apt,2,10,20-10-2019,0.3,1,87
12112407,Canal-view apartment in Amsterdam,19037994,Shanti,,Bos en Lommer,52.37702,4.86141,Entire home/apt,4,2,23-10-2017,0.06,1,0
305809,Canal & Parkview Apartment,1573009,Clyde,,Westerpark,52.384479999999996,4.87116,Entire home/apt,1,162,20-10-2019,1.63,1,356
3081334,Sunny family house and garden ,12310171,Alexandra & Andrew,,Watergraafsmeer,52.34921,4.94051,Entire home/apt,3,11,28-05-2016,0.15,1,40
12382693,Romantic Apt Amsterdam Oud-West,66930853,Jorne,,Westerpark,52.3756,4.873069999999999,Entire home/apt,2,1,08-05-2016,0.02,1,0
29222263,Pipowagon on wheels,711896,La Bella,,Noord-Oost,52.37952,4.96847,Private room,2,10,20-10-2019,0.54,4,89
9263993,Private apartment next to the Vondelpark!,6076845,Jerome,,De Baarsjes - Oud-West,52.36035,4.86184,Entire home/apt,2,55,09-02-2020,0.98,1,0
18604933,Cosy Bellamy apartment,129211631,Jeroen,,De Baarsjes - Oud-West,52.36611,4.866140000000001,Entire home/apt,3,10,29-05-2019,0.28,1,0
35475839,City centre Amsterdam,154444174,Jeffrey,,Centrum-West,52.38217,4.8882699999999994,Entire home/apt,2,13,24-02-2020,1.07,1,0
26180235,Large family house close to the Vondelpark,4938413,Jorgen,,Slotervaart,52.35409,4.8202300000000005,Entire home/apt,3,6,29-07-2019,0.25,1,0
41846848,Cozy and new Apartment in the center of Amsterdam,12662852,Cristina,,De Pijp - Rivierenbuurt,52.35071,4.90031,Entire home/apt,2,1,24-02-2020,0.28,1,35
34675962,Cute Amsterdam downstairs family home,250148277,Dorine,,De Baarsjes - Oud-West,52.369279999999996,4.84919,Entire home/apt,2,1,04-08-2019,0.1,1,98
27250038,Bright & fully equipped apt. @ heart of the city!,205236278,Lorenzo,,Centrum-Oost,52.364670000000004,4.88664,Entire home/apt,3,8,18-11-2018,0.37,1,0
22723004,Room with garden in Amsterdam East,52752092,Maxim,,Oostelijk Havengebied - Indische Buurt,52.36427,4.94401,Private room,2,14,26-05-2019,0.49,4,0
41611658,Central Spui 2,325213924,Dario,,Centrum-West,52.37697,4.89341,Private room,1,1,16-03-2020,0.34,15,43
28042771,Lovely Private Appartement in Amsterdam,32327823,Whitney,,Buitenveldert - Zuidas,52.32947,4.86215,Entire home/apt,2,1,08-09-2018,0.05,1,0
13706343,Light Comfortable Penthouse With Big Roofterrace.,31675383,Floris,,Zuid,52.3521,4.85945,Entire home/apt,2,0,,,1,0
42166001,Sunny and Spacious 2-BR Flat with Rooftop Terrace,107784513,Thomas,,Westerpark,52.38126,4.87017,Entire home/apt,2,0,,,1,3
28167828,The Muyssonette - Jordaan area!,27644639,Gea,,Centrum-West,52.380359999999996,4.88618,Private room,2,71,07-03-2020,3.49,1,124
23362883,Cosy spot in Amsterdam: only 15 mins from Central,12581267,Tim,,Bos en Lommer,52.3813,4.85088,Private room,1,11,07-07-2019,0.41,1,159
27112526,Cosy apartment (65m2) next to the Foodhallen,194564500,Gijs,,De Baarsjes - Oud-West,52.36633,4.863569999999999,Entire home/apt,3,20,22-04-2019,0.89,1,0
