id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,59,3,278,14-02-2020,2.04,1,158
9693,Top Location on Canal (Center Flat),32366,Sabine And Sander,,Centrum-West,52.37802,4.8927,Entire home/apt,119,3,55,29-06-2018,0.44,1,17
20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36509,4.89354,Private room,100,1,340,09-04-2020,2.72,2,31
25428,Lovely apt in City Centre (w.lift) near Jordaan,56142,Joan,,Centrum-West,52.37297,4.88339,Entire home/apt,125,14,5,09-02-2020,0.17,1,212
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,135,2,217,02-03-2020,2.12,1,235
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36719,4.89092,Private room,75,2,332,16-03-2020,2.78,3,258
29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36773,4.89151,Private room,55,2,479,14-03-2020,4.26,3,277
31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.35132,4.84838,Entire home/apt,219,3,32,16-10-2017,0.3,1,159
41125,Amsterdam Center Entire Apartment,178515,Fatih,,Centrum-West,52.37891,4.88321,Entire home/apt,180,4,89,10-02-2020,0.77,1,16
42970,Comfortable room@PERFECT location + 2 bikes,187580,Micha,,Centrum-West,52.36781,4.89001,Hotel room,159,3,471,26-02-2020,3.96,2,321
43109,Oasis in the middle of Amsterdam,188098,Aukje,,Centrum-West,52.37537,4.88932,Entire home/apt,210,3,850,07-03-2020,9.83,1,0
46386,Cozy loft in central Amsterdam,207342,Joost,,De Pijp - Rivierenbuurt,52.35247,4.90825,Entire home/apt,150,3,3,03-01-2018,0.03,1,0
48076,Amsterdam Central and lot of space,219080,Franklin,,Centrum-West,52.38042,4.89453,Private room,270,4,208,17-02-2020,1.97,2,249
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,220,3,367,10-03-2020,3.13,1,271
49790,Luxurous Houseboat-Great Location,227530,Klaas,,De Baarsjes - Oud-West,52.36266,4.86103,Entire home/apt,250,3,103,14-05-2019,0.93,1,365
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37727,4.83925,Entire home/apt,120,4,17,20-02-2020,0.23,1,130
50518,Perfect central Amsterdam apartment,231806,Nikki,,Westerpark,52.38201,4.87865,Entire home/apt,135,1,108,02-03-2020,1.16,1,0
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36841,4.88413,Private room,115,2,298,16-03-2020,2.59,1,343
52490,Amsterdam Aqua,185836,VictorLuke,,Oostelijk Havengebied - Indische Buurt,52.37005,4.93869,Private room,80,2,102,01-01-2020,0.87,1,0
53671,Nice room near centre with en suite bath,247822,Georg,,Westerpark,52.38905,4.88559,Private room,75,3,309,16-03-2020,2.77,1,156
