instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
10136,03-03-2012,1,1,3,9,0,6,0,3,0.38,0.3939,0.87,0.0896,94
6987,23-10-2011,4,0,10,17,0,0,0,1,0.5,0.4848,0.63,0.1343,340
14303,24-08-2012,3,1,8,3,0,5,1,1,0.64,0.6061,0.73,0,8
2295,10-04-2011,2,0,4,11,0,0,0,2,0.4,0.4091,0.87,0.1343,202
7869,29-11-2011,4,0,11,12,0,2,1,3,0.42,0.4242,0.82,0.4179,18
6001,12-09-2011,3,0,9,14,0,1,1,1,0.74,0.6667,0.51,0.1642,189
16334,18-11-2012,4,1,11,7,0,0,0,1,0.28,0.2727,0.81,0.194,42
15331,05-10-2012,4,1,10,23,0,5,1,1,0.58,0.5455,0.78,0.2239,171
8732,04-01-2012,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,90
7931,02-12-2011,4,0,12,2,0,5,1,1,0.24,0.2879,0.75,0,10
13361,15-07-2012,3,1,7,21,0,0,0,1,0.72,0.697,0.79,0.0896,223
17138,21-12-2012,1,1,12,20,0,5,1,1,0.28,0.2727,0.41,0.2537,112
7530,15-11-2011,4,0,11,8,0,2,1,2,0.54,0.5152,0.68,0.1045,480
7398,09-11-2011,4,0,11,20,0,3,1,1,0.44,0.4394,0.77,0,219
12797,22-06-2012,3,1,6,9,0,5,1,1,0.76,0.7121,0.58,0.2239,333
11883,15-05-2012,2,1,5,7,0,2,1,3,0.56,0.5303,0.94,0.1343,92
1512,08-03-2011,1,0,3,8,0,2,1,1,0.22,0.2273,0.55,0.194,257
14264,22-08-2012,3,1,8,12,0,3,1,1,0.74,0.6667,0.51,0,312
16282,16-11-2012,4,1,11,3,0,5,1,2,0.3,0.303,0.65,0.1343,6
2422,15-04-2011,2,0,4,19,1,5,0,1,0.42,0.4242,0.77,0.3881,209
15459,11-10-2012,4,1,10,7,0,4,1,1,0.36,0.3333,0.5,0.2537,478
8965,14-01-2012,1,1,1,9,0,6,0,1,0.14,0.1667,0.5,0.1045,81
1025,15-02-2011,1,0,2,9,0,2,1,1,0.22,0.197,0.29,0.4478,110
6819,16-10-2011,4,0,10,16,0,0,0,1,0.6,0.6212,0.46,0.3881,466
2696,27-04-2011,2,0,4,5,0,3,1,2,0.56,0.5303,0.94,0.2537,17
6875,19-10-2011,4,0,10,0,0,3,1,2,0.52,0.5,0.77,0.194,34
1808,21-03-2011,2,0,3,0,0,1,1,3,0.34,0.303,0.66,0.3881,13
11502,29-04-2012,2,1,4,10,0,0,0,1,0.42,0.4242,0.67,0.0896,380
2668,26-04-2011,2,0,4,1,0,2,1,1,0.62,0.5909,0.73,0.2836,21
1435,05-03-2011,1,0,3,1,0,6,0,2,0.3,0.3182,0.81,0.1045,25
4698,19-07-2011,3,0,7,15,0,2,1,1,0.88,0.8182,0.44,0.194,158
7004,24-10-2011,4,0,10,10,0,1,1,2,0.46,0.4545,0.82,0.2537,129
8831,08-01-2012,1,1,1,18,0,0,0,1,0.34,0.3182,0.46,0.2239,181
