avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,TARGET_deathRate
19.0,8,481.5,50038,2704,11.1,0.0,"(48021.6, 51046.4]",48.4,49.6,46.4,"Hettinger County, North Dakota",2.25,65.9,10.8,25.0,57.4,6.8,37.1,12.2,57.4,1.1,81.2,56.0,35.7,34.7,9.9,96.03204884,0.724914155,0.0,0.0,62.51145738,15.15711645,160.3
88.0,34,486.0,59399,14844,9.7,0.0,"(54545.6, 61494.5]",41.9,41.3,43.2,"Mills County, Iowa",2.63,58.6,22.3,29.1,,1.1,35.9,16.0,60.4,3.8,76.7,,50.8,32.1,12.8,97.53734356,0.7199569370000001,0.080742834,0.040371417,61.64104464,3.2935098480000002,194.9
195.0,83,475.7,39721,25164,18.5,0.0,"(37413.8, 40362.7]",48.9,47.9,49.9,"Gladwin County, Michigan",2.3,57.2,24.9,36.2,,3.5,40.2,7.6,41.2,11.0,61.6,,32.1,49.8,21.6,97.57656562,0.360770166,0.41174855899999996,0.082349712,53.97810219,6.390328152,196.5
116.0,55,496.6,30299,17917,28.1,0.0,"[22640, 34218.1]",44.2,42.7,45.2,"Fentress County, Tennessee",2.43,53.0,10.9,51.8,,5.3,44.2,7.0,41.6,10.4,45.2,,24.2,53.2,33.0,97.90864982,0.16173108,0.306731359,0.34019296200000004,51.01314348,5.124835742,230.9
80.0,35,372.0,39625,14058,17.4,0.0,"(37413.8, 40362.7]",45.0,42.2,48.0,"Las Animas County, Colorado",2.36,52.2,12.6,31.2,,0.2,28.3,10.5,49.3,9.2,56.6,,33.4,43.0,24.7,82.67255051,1.834103289,0.68261739,8.2534648,50.56642636,3.897032535,162.2
49.0,24,437.7,27596,9122,32.5,0.0,"[22640, 34218.1]",36.8,35.6,42.9,"Wilkinson County, Mississippi",2.6,34.4,28.5,40.8,,7.3,36.1,10.0,39.0,9.7,42.3,32.7,27.9,48.2,32.0,28.87105404,70.65810594,0.0,0.470840021,36.05484575,2.790178571,219.7
44.0,14,506.7,55758,6309,11.3,0.0,"(54545.6, 61494.5]",43.2,42.5,43.7,"Clay County, Nebraska",0.024,61.2,25.2,28.1,40.6,6.1,32.6,14.2,63.1,2.8,69.5,,37.3,32.5,15.8,96.77217173,0.454403008,0.376057662,0.893136948,57.24111578,8.012820513,148.9
419.0,189,426.3,39922,82005,17.2,512.1638924,"(37413.8, 40362.7]",40.5,39.4,41.9,"Cullman County, Alabama",2.55,57.6,20.6,30.6,44.7,4.1,34.7,9.1,49.7,7.3,62.6,47.9,42.1,35.3,19.0,95.69320077,1.19063793,0.557030816,0.737355648,54.850257299999996,3.913308575,187.9
929.0,355,507.3,42728,152692,18.0,438.79181619999997,"(42724.4, 45201]",41.3,39.9,42.8,"Penobscot County, Maine",2.36,48.0,10.2,21.9,58.4,9.5,34.9,15.6,56.1,7.8,63.3,,42.4,39.4,20.7,95.20063609,0.825746072,1.0994740509999998,0.158371188,48.02575315,4.133114215,187.5
1081.0,367,490.9,53733,212284,15.7,249.66554240000002,"(51046.4, 54545.6]",36.5,35.6,37.5,"Whatcom County, Washington",2.53,47.5,9.4,22.1,,7.7,23.0,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,85.4703042,0.880733945,3.925156929,2.4258812169999997,48.06875024,4.4729858,163.3
44.0,19,404.1,43344,9516,15.0,0.0,"(42724.4, 45201]",39.1,37.9,39.5,"Grand County, Utah",2.44,46.3,17.3,59.0,,0.4,24.1,17.4,63.5,7.1,57.2,44.2,33.7,28.8,14.4,92.82062207,0.28760119300000003,1.363442693,0.22368981699999999,43.99577725,2.808716707,179.8
29.0,9,537.2,43523,7121,12.4,0.0,"(42724.4, 45201]",30.7,29.1,31.3,"Dallam County, Texas",3.09,46.4,14.7,61.8,,5.5,33.3,9.0,66.6,5.6,52.4,43.7,36.6,30.0,21.8,88.97918449,1.25463359,0.9694895920000001,4.348445965,49.51241135,9.422492401,177.9
20.0,10,325.4,37294,3307,18.7,0.0,"(34218.1, 37413.8]",54.1,53.5,55.6,"Real County, Texas",2.65,55.0,48.6,14.2,,0.0,28.6,16.0,34.9,12.0,46.3,,21.7,49.0,22.9,98.1227652,0.178784267,0.0,0.41716329,56.37254902,11.23809524,166.8
9.0,3,338.6,62010,1846,10.6,0.0,"(61494.5, 125635]",48.5,45.8,49.6,"Oliver County, North Dakota",2.3,72.5,11.6,35.7,,8.9,30.3,13.7,59.1,3.6,80.1,60.9,41.4,27.0,7.8,92.52336449,0.329851567,0.16492578300000002,1.209455745,66.16161616,15.434083600000001,137.6
356.0,123,482.4,52485,63531,10.7,487.9507642,"(51046.4, 54545.6]",40.6,39.1,42.0,"Chippewa County, Wisconsin",2.44,55.6,14.2,36.1,42.6,7.0,38.5,13.5,61.8,5.1,73.4,56.9,50.8,33.9,15.7,95.12569413,1.358983689,1.202360423,0.229397712,55.24062236,5.4977711739999995,160.1
18.0,9,303.0,36684,4201,19.4,0.0,"(34218.1, 37413.8]",40.3,38.2,45.2,"Union County, New Mexico",2.39,44.5,15.4,23.7,,12.0,35.3,11.0,46.5,2.1,48.2,34.2,28.7,44.4,28.1,79.09656603,2.8347545519999997,0.207421065,14.01244526,47.01731879,3.536585366,151.6
105.0,43,481.0,44065,14858,13.5,0.0,"(42724.4, 45201]",45.6,44.9,47.2,"Gasconade County, Missouri",2.35,56.6,8.8,38.5,45.3,7.5,43.2,10.3,54.2,6.1,69.8,54.3,47.2,35.2,17.9,97.75220765,0.44153064,0.28766390199999997,0.060208724000000005,53.82644893,6.720977597,180.8
245.0,95,535.2,46870,33642,14.4,0.0,"(45201, 48021.6]",42.0,40.4,44.3,"Christian County, Illinois",2.31,51.1,17.2,43.0,,4.7,44.1,9.6,54.6,5.4,70.2,52.6,46.0,38.5,19.5,96.37426901,1.684210526,0.526315789,0.18128655,47.89838008,4.048467569,196.0
1885.0,713,470.9,48380,354098,15.9,553.5190823,"(48021.6, 51046.4]",39.3,37.8,40.9,"Hamilton County, Tennessee",0.0248,48.0,13.1,27.0,51.6,8.4,27.3,18.2,57.7,8.0,68.3,53.9,46.5,32.9,17.5,75.1445618,19.8327593,1.981782196,0.991034726,47.00812066,5.3423501589999995,172.9
228.0,84,477.4,49384,44834,14.2,0.0,"(48021.6, 51046.4]",37.8,36.8,38.8,"Callaway County, Missouri",2.52,47.4,11.5,26.0,,5.4,38.3,14.3,54.8,5.1,74.8,59.7,55.4,28.1,12.4,91.75829107,3.6754476510000003,0.8661311309999999,0.538527128,49.69659443,4.53252418,180.1
88.0,36,459.4,42579,13088,22.3,0.0,"(40362.7, 42724.4]",49.3,48.4,49.8,"Pend Oreille County, Washington",2.38,55.9,34.7,39.4,,1.4,32.2,12.0,39.5,10.3,55.5,37.8,29.9,48.1,26.6,91.78747687,0.185070944,0.208204812,0.6169031460000001,53.44699778,5.587583148999999,190.5
579.0,258,441.0,50020,124108,18.2,145.03496950000002,"(48021.6, 51046.4]",35.4,34.1,37.3,"Gregg County, Texas",2.61,46.9,16.5,31.5,45.6,6.3,28.2,14.0,58.3,5.9,57.8,46.5,41.6,32.5,20.0,74.67242527,20.14483106,1.4109662440000001,1.4052834109999999,45.37901705,6.625137665,189.9
98.0,33,510.8,54683,14270,10.2,0.0,"(54545.6, 61494.5]",42.6,42.1,43.3,"Washington County, Illinois",2.46,54.6,18.5,24.5,,7.3,35.0,13.8,61.5,5.5,72.7,,46.2,33.0,18.1,97.12941827,0.7401258909999999,0.36660441299999996,0.574116345,55.04587156,6.077529566,162.6
592.0,241,446.6,50935,193479,13.9,0.0,"(48021.6, 51046.4]",30.3,29.5,31.1,"Montgomery County, Tennessee",2.76,54.2,7.7,37.0,,8.7,30.8,16.6,52.1,9.7,72.1,54.5,28.7,29.0,14.9,71.70072051,19.225723199999997,2.115818905,1.7152381980000002,53.62200682,6.724977636,195.4
280.0,119,466.3,43701,40884,13.4,1858.917914,"(42724.4, 45201]",47.2,46.3,48.0,"Marinette County, Wisconsin",2.2,54.6,12.1,34.6,,3.2,42.6,9.9,55.3,7.5,69.6,50.4,45.4,41.6,19.9,96.72536149,0.370576695,0.5473877979999999,0.5425436579999999,49.59331841,4.5273631839999995,182.8
248.0,105,423.7,44531,45668,15.1,0.0,"(42724.4, 45201]",42.5,40.7,44.1,"Huntingdon County, Pennsylvania",2.36,51.4,9.9,50.5,34.3,5.2,51.7,9.1,48.6,8.1,70.5,51.5,45.9,38.2,17.9,92.1491744,5.284712238,0.457456542,0.411710887,55.09433962,6.823375775,172.7
148.0,67,454.6,35528,23877,20.1,0.0,"(34218.1, 37413.8]",43.9,43.3,44.7,"Winston County, Alabama",2.53,52.7,19.9,33.5,,2.8,33.7,6.8,45.3,9.6,58.8,42.0,35.3,43.9,22.8,96.17488603,0.505594695,0.17820140899999998,0.11189390800000001,52.95556028,5.871779509,203.4
1962.667684,23,453.5494221,57243,9811,13.7,0.0,"(54545.6, 61494.5]",39.4,38.4,40.3,"White Pine County, Nevada",2.71,44.8,23.9,47.1,,4.3,34.5,8.8,43.8,10.6,67.6,51.7,48.4,31.9,13.7,86.56506918,4.170844195,0.741929015,0.922398235,53.24756825,5.470459518999999,188.4
980.0,352,536.3,59925,160266,13.0,81.11514607,"(54545.6, 61494.5]",39.8,37.8,41.4,"Rensselaer County, New York",2.43,45.9,7.6,29.1,,13.5,29.0,16.2,61.3,7.6,76.4,60.4,56.3,31.9,15.9,87.26641651,6.112570356,2.335209506,0.696685428,45.44265292,4.18906927,188.4
90.0,37,423.6,41094,17555,16.9,56.96382797,"(40362.7, 42724.4]",42.5,38.8,45.3,"Jefferson County, Iowa",2.24,47.5,6.7,16.9,,29.6,30.4,17.7,53.2,6.4,66.1,51.3,35.5,36.2,20.8,85.13685183,1.420487354,7.922392886,2.119182354,47.98206278,2.534226624,163.0
1624.0,584,505.5,54208,274219,15.1,43.76064386,"(51046.4, 54545.6]",40.6,38.9,42.0,"Atlantic County, New Jersey",2.64,45.1,12.3,32.4,45.8,9.4,32.9,17.0,58.0,12.5,66.9,49.9,45.3,33.4,17.7,67.14492185,15.56381093,8.286488292,5.106835745,44.80543715,4.69661296,179.5
427.0,183,487.6,40234,67979,20.0,0.0,"(37413.8, 40362.7]",40.0,39.0,40.8,"Grant County, Indiana",2.39,46.3,11.3,24.8,,6.7,41.5,10.6,51.9,8.8,65.3,48.1,43.5,36.8,18.3,88.64810729,6.731885741,0.748954947,0.629934974,47.39962987,3.2279554260000003,202.3
771.0,291,551.5,47575,107303,16.3,1584.298668,"(45201, 48021.6]",40.6,39.2,41.8,"Macon County, Illinois",2.35,47.8,11.9,33.9,,6.1,34.6,15.2,55.9,10.5,66.8,49.7,45.4,39.4,22.2,78.62225601,14.73354519,1.2052054620000001,0.55589644,44.24802405,5.647068254,197.9
1456.0,579,458.5,44050,297302,17.7,531.4461388999999,"(42724.4, 45201]",38.2,36.9,39.3,"Spartanburg County, South Carolina",2.58,49.2,14.5,32.8,,8.6,29.8,14.6,55.8,8.9,62.6,49.1,43.7,34.3,19.9,72.99306414,20.80414778,2.2301194890000002,1.95886554,48.6859826,5.772383445,181.6
79.0,33,564.2,34126,12228,22.7,0.0,"[22640, 34218.1]",40.4,39.5,40.7,"Bath County, Kentucky",2.76,51.0,22.4,33.2,,2.3,39.2,9.1,43.8,14.0,51.7,39.6,36.7,46.2,29.7,96.10118551,1.6363332780000002,0.016697278,1.01018534,52.0828485,4.990825688,238.5
99.0,41,457.4,35470,18023,24.7,0.0,"(34218.1, 37413.8]",39.9,37.3,41.4,"Haywood County, Tennessee",2.57,43.0,24.2,50.6,,1.9,42.1,7.2,49.8,10.5,56.1,,35.5,43.5,26.4,46.15848312,49.34239369,0.0,2.498903989,42.75114155,4.488542405,183.7
269.0,110,484.8,52650,45876,8.3,0.0,"(51046.4, 54545.6]",41.0,39.8,42.2,"Auglaize County, Ohio",2.49,58.4,16.5,39.9,,4.7,43.9,11.6,63.4,5.0,78.2,,55.4,30.7,14.2,97.39280187,0.45124583100000004,0.512283914,0.364048569,56.72511405,6.028766704,189.7
90.0,41,472.0,50395,17941,13.7,0.0,"(48021.6, 51046.4]",38.9,38.5,39.7,"Pike County, Georgia",2.92,56.2,12.8,41.9,,3.9,39.2,9.7,52.4,10.4,65.2,52.4,44.8,28.0,15.5,87.31753874,11.2732989,0.381765102,0.179654166,62.30679741,3.4229267169999997,224.3
177.0,80,493.5,24868,27337,33.5,0.0,"[22640, 34218.1]",41.1,39.2,42.5,"Bell County, Kentucky",2.44,46.6,20.6,46.4,30.7,2.3,35.6,5.0,35.4,11.6,39.7,26.6,24.4,57.6,39.6,95.00536673,3.2093023260000004,0.322003578,0.032200358,42.08152958,3.381417714,223.0
147.0,60,538.4,52377,27924,12.6,0.0,"(51046.4, 54545.6]",36.7,36.9,36.5,"Meade County, Kentucky",2.73,57.1,20.1,47.6,,3.2,39.8,8.4,,11.5,67.9,48.3,36.0,35.6,17.3,92.13347996,3.883428414,0.8144889679999999,0.35053955600000003,59.26801589,6.956521738999999,225.1
597.0,234,524.8,43390,99259,15.0,90.67187862,"(42724.4, 45201]",39.1,37.2,40.7,"Daviess County, Kentucky",0.0248,52.7,11.3,33.4,,7.6,37.8,11.8,57.2,6.8,68.6,53.4,47.7,35.8,19.3,91.54757418,4.516516761,0.9147117840000001,0.551068013,51.10805481,4.970419505,199.4
