Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.875164956000003
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.93522932
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.41890172
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.9574724
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73462172
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.680203152
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.86810032
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.698039603999995
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.720462532
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.83974188
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77327244
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.69782984
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,14,29.592309919999998
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28,26.200088
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.14221208
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.101223159999996
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180,27.62730332
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.378282643999995
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.589312159999999
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28,27.935499091999997
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.455953576
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.314271244
491.0,26.0,123.0,201.0,3.93,822.0,699.0,56,61.85584685418796
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,24.39366088
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.290928956
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.2293658
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52402188
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.51802636
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.37597436
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.15794004
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99482412
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28,57.02655996
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28,37.2661778
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74477404
