"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","bachelor's degree","standard","none","74","68","67"
"female","group C","some college","standard","completed","58","68","66"
"male","group C","some college","free/reduced","none","66","65","65"
"female","group D","bachelor's degree","free/reduced","none","74","75","73"
"male","group D","some college","standard","none","78","77","71"
"female","group D","associate's degree","standard","completed","75","82","85"
"female","group B","associate's degree","free/reduced","none","69","78","80"
"male","group E","some high school","free/reduced","none","54","50","48"
"male","group C","some high school","standard","completed","65","58","55"
"male","group B","master's degree","standard","none","87","75","79"
"female","group E","some college","free/reduced","none","64","69","65"
"male","group C","bachelor's degree","standard","none","44","39","35"
"female","group C","some college","standard","none","57","62","64"
"female","group D","high school","free/reduced","completed","40","60","51"
"female","group C","master's degree","free/reduced","none","52","59","60"
"male","group D","some college","free/reduced","completed","75","64","70"
"male","group E","some college","free/reduced","completed","57","59","58"
"male","group C","associate's degree","standard","none","82","74","64"
"female","group C","associate's degree","free/reduced","none","49","62","55"
"female","group A","some high school","free/reduced","none","58","80","68"
"male","group C","some high school","standard","none","37","40","37"
"male","group B","some high school","standard","completed","61","59","61"
"female","group D","high school","standard","completed","61","72","67"
"female","group C","some college","standard","none","73","77","80"
"female","group D","associate's degree","standard","none","57","59","57"
"female","group B","associate's degree","free/reduced","none","57","74","73"
"male","group B","some high school","standard","none","86","77","81"
"female","group D","high school","free/reduced","completed","48","63","69"
"male","group C","high school","standard","none","66","64","53"
"male","group C","some college","standard","none","60","51","48"
"male","group D","some college","standard","none","73","64","57"
"male","group E","some college","standard","none","76","65","63"
"female","group C","associate's degree","standard","none","64","63","66"
"male","group B","high school","standard","none","55","48","45"
"female","group B","some high school","standard","none","72","80","81"
"female","group B","high school","standard","none","58","62","63"
"female","group D","associate's degree","free/reduced","none","36","44","41"
"male","group B","some college","standard","none","83","85","80"
"male","group E","high school","free/reduced","none","70","65","65"
"male","group C","associate's degree","standard","none","80","62","65"
"female","group C","associate's degree","standard","none","55","63","60"
"female","group E","some college","standard","none","56","59","60"
"male","group B","associate's degree","standard","completed","91","98","96"
"male","group E","some high school","standard","none","57","55","52"
"female","group C","associate's degree","standard","none","49","63","54"
"female","group C","high school","free/reduced","none","67","90","80"
"female","group B","master's degree","free/reduced","none","56","61","60"
"female","group B","some high school","standard","none","75","89","88"
"female","group E","associate's degree","standard","completed","87","88","94"
"female","group D","some high school","free/reduced","none","53","61","65"
"female","group B","some high school","standard","none","67","80","76"
"male","group C","some college","standard","none","77","65","66"
"male","group B","some college","free/reduced","none","49","64","59"
"female","group B","high school","standard","completed","81","94","91"
"female","group B","master's degree","standard","none","89","97","94"
"male","group C","high school","standard","none","64","76","62"
"male","group C","some high school","free/reduced","none","51","46","45"
"female","group C","some high school","standard","completed","54","74","69"
"female","group C","some high school","free/reduced","completed","44","53","57"
"male","group C","associate's degree","standard","none","72","64","61"
"female","group C","associate's degree","free/reduced","completed","44","54","59"
"male","group E","some college","free/reduced","none","96","76","76"
"male","group E","some college","free/reduced","none","88","81","78"
"female","group C","some high school","free/reduced","completed","54","66","65"
"female","group D","some high school","standard","none","63","73","70"
"male","group B","bachelor's degree","standard","completed","55","56","59"
"male","group C","associate's degree","standard","none","70","66","64"
"female","group D","some college","standard","none","76","91","86"
"male","group D","associate's degree","free/reduced","completed","71","78","77"
"female","group B","associate's degree","standard","none","76","86","80"
"male","group C","some high school","standard","completed","53","46","49"
"female","group C","associate's degree","free/reduced","completed","81","93","91"
"female","group E","associate's degree","standard","completed","68","74","76"
