Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,61,UNITED KINGDOM,19.8,11.88,,29,0
EPX,Travel Agency,Online,Cancellation Plan,93,NEW ZEALAND,63.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,UNITED STATES,22.0,0.0,,25,0
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,54.5,13.63,M,24,0
EPX,Travel Agency,Online,Cancellation Plan,90,VIET NAM,10.0,0.0,,23,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,"KOREA, REPUBLIC OF",47.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,THAILAND,25.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,VIET NAM,27.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,95,THAILAND,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,30,AUSTRALIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,4,MALAYSIA,20.0,0.0,,56,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,49,SINGAPORE,-80.0,0.0,,21,0
JZI,Airlines,Online,Basic Plan,3,INDIA,22.0,7.7,M,26,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,6,"TAIWAN, PROVINCE OF CHINA",53.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,MALAYSIA,9.9,5.94,,30,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,MALAYSIA,29.7,17.82,,53,0
EPX,Travel Agency,Online,Cancellation Plan,54,CAMBODIA,12.0,0.0,,36,0
TST,Travel Agency,Offline,Travel Cruise Protect,40,THAILAND,30.0,10.5,M,50,0
JZI,Airlines,Online,Basic Plan,2,MALAYSIA,18.0,6.3,M,39,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,M,52,1
EPX,Travel Agency,Online,Cancellation Plan,11,"KOREA, REPUBLIC OF",33.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,49,JAPAN,26.0,9.1,F,38,0
TST,Travel Agency,Offline,Travel Cruise Protect,78,MALAYSIA,30.0,10.5,M,28,0
